iata,lat,lon,arrsum,arrcount,depsum,depcount,delaysum,delaycount,time
ATL,33.6367,-84.428101,0.0,0.0,0.0,0.0,0.0,0.0,0
LAX,33.94250107,-118.40799709999999,44.0,1.0,58.0,5.0,102.0,6.0,0
ORD,41.9786,-87.9048,0.0,0.0,0.0,0.0,0.0,0.0,0
DEN,39.861698150635,-104.672996521,0.0,0.0,0.0,0.0,0.0,0.0,0
DFW,32.896801,-97.038002,0.0,0.0,0.0,0.0,0.0,0.0,0
LAS,36.08010101,-115.15200039999999,40.0,2.0,14.0,1.0,54.0,3.0,0
SFO,37.61899948120117,-122.375,0.0,0.0,112.0,3.0,112.0,3.0,0
PHX,33.43429946899414,-112.01200103759766,3.0,1.0,22.0,3.0,25.0,4.0,0
IAH,29.98439979553223,-95.34140014648438,0.0,0.0,0.0,0.0,0.0,0.0,0
SEA,47.449001,-122.308998,0.0,0.0,0.0,0.0,0.0,0.0,0
BOS,42.36429977,-71.00520325,9.0,1.0,0.0,0.0,9.0,1.0,0
MCO,28.429399490356445,-81.30899810791016,0.0,0.0,0.0,0.0,0.0,0.0,0
EWR,40.69250106811523,-74.168701171875,0.0,0.0,0.0,0.0,0.0,0.0,0
LGA,40.77719879,-73.87259674,0.0,0.0,0.0,0.0,0.0,0.0,0
JFK,40.63980103,-73.77890015,21.0,2.0,0.0,0.0,21.0,2.0,0
FLL,26.072599,-80.152702,0.0,0.0,0.0,0.0,0.0,0.0,0
SAN,32.7336006165,-117.190002441,0.0,0.0,0.0,0.0,0.0,0.0,0
CLT,35.2140007019043,-80.94309997558594,0.0,0.0,0.0,0.0,0.0,0.0,0
DTW,42.212398529052734,-83.35340118408203,0.0,0.0,0.0,0.0,0.0,0.0,0
DCA,38.8521,-77.037697,0.0,0.0,0.0,0.0,0.0,0.0,0
MSP,44.882,-93.221802,0.0,0.0,0.0,0.0,0.0,0.0,0
MIA,25.79319953918457,-80.29060363769531,83.0,1.0,0.0,0.0,83.0,1.0,0
BWI,39.1754,-76.668297,0.0,0.0,0.0,0.0,0.0,0.0,0
PHL,39.87189865112305,-75.24109649658203,0.0,0.0,0.0,0.0,0.0,0.0,0
TPA,27.975500106811523,-82.533203125,83.0,1.0,0.0,0.0,83.0,1.0,0
SLC,40.78839874267578,-111.97799682617188,0.0,0.0,0.0,0.0,0.0,0.0,0
IAD,38.94449997,-77.45580292,0.0,0.0,0.0,0.0,0.0,0.0,0
MDW,41.785999,-87.752403,0.0,0.0,0.0,0.0,0.0,0.0,0
BNA,36.1245002746582,-86.6781997680664,0.0,0.0,0.0,0.0,0.0,0.0,0
PDX,45.58869934,-122.59799960000001,32.0,1.0,0.0,0.0,32.0,1.0,0
DAL,32.847099,-96.851799,0.0,0.0,0.0,0.0,0.0,0.0,0
AUS,30.2987223546,-97.6997852325,0.0,0.0,0.0,0.0,0.0,0.0,0
RDU,35.877601623535156,-78.7874984741211,0.0,0.0,0.0,0.0,0.0,0.0,0
STL,38.748697,-90.370003,0.0,0.0,0.0,0.0,0.0,0.0,0
MSY,29.99340057373047,-90.25800323486328,0.0,0.0,0.0,0.0,0.0,0.0,0
MCI,39.2976,-94.713898,3.0,1.0,0.0,0.0,3.0,1.0,0
HOU,29.64539909,-95.27890015,0.0,0.0,0.0,0.0,0.0,0.0,0
PIT,40.49150085,-80.23290253,0.0,0.0,0.0,0.0,0.0,0.0,0
SJC,37.362598,-121.929001,0.0,0.0,0.0,0.0,0.0,0.0,0
OAK,37.721298,-122.221001,0.0,0.0,0.0,0.0,0.0,0.0,0
SMF,38.69540023803711,-121.59100341796876,52.0,1.0,0.0,0.0,52.0,1.0,0
IND,39.7173,-86.294403,0.0,0.0,0.0,0.0,0.0,0.0,0
SNA,33.67570114,-117.86799620000001,0.0,0.0,0.0,0.0,0.0,0.0,0
CLE,41.411701202399996,-81.8498001099,30.0,1.0,0.0,0.0,30.0,1.0,0
CMH,39.998001,-82.891899,0.0,0.0,0.0,0.0,0.0,0.0,0
SAT,29.533700942993164,-98.46980285644531,0.0,0.0,0.0,0.0,0.0,0.0,0
CVG,39.0488014221,-84.6678009033,0.0,0.0,0.0,0.0,0.0,0.0,0
JAX,30.49410057067871,-81.68789672851562,0.0,0.0,0.0,0.0,0.0,0.0,0
HNL,21.32062,-157.924228,0.0,0.0,0.0,0.0,0.0,0.0,0
MKE,42.94720077514648,-87.89659881591797,0.0,0.0,0.0,0.0,0.0,0.0,0
ATL,33.6367,-84.428101,0.0,0.0,0.0,0.0,0.0,0.0,100
LAX,33.94250107,-118.40799709999999,95.0,1.0,95.0,2.0,190.0,3.0,100
ORD,41.9786,-87.9048,0.0,0.0,0.0,0.0,0.0,0.0,100
DEN,39.861698150635,-104.672996521,0.0,0.0,61.0,1.0,61.0,1.0,100
DFW,32.896801,-97.038002,0.0,0.0,0.0,0.0,0.0,0.0,100
LAS,36.08010101,-115.15200039999999,0.0,0.0,9.0,1.0,9.0,1.0,100
SFO,37.61899948120117,-122.375,0.0,0.0,34.0,1.0,34.0,1.0,100
PHX,33.43429946899414,-112.01200103759766,58.0,1.0,29.0,4.0,87.0,5.0,100
IAH,29.98439979553223,-95.34140014648438,0.0,0.0,0.0,0.0,0.0,0.0,100
SEA,47.449001,-122.308998,0.0,0.0,0.0,0.0,0.0,0.0,100
BOS,42.36429977,-71.00520325,0.0,0.0,0.0,0.0,0.0,0.0,100
MCO,28.429399490356445,-81.30899810791016,0.0,0.0,0.0,0.0,0.0,0.0,100
EWR,40.69250106811523,-74.168701171875,0.0,0.0,0.0,0.0,0.0,0.0,100
LGA,40.77719879,-73.87259674,0.0,0.0,0.0,0.0,0.0,0.0,100
JFK,40.63980103,-73.77890015,0.0,0.0,0.0,0.0,0.0,0.0,100
FLL,26.072599,-80.152702,0.0,0.0,0.0,0.0,0.0,0.0,100
SAN,32.7336006165,-117.190002441,0.0,0.0,0.0,0.0,0.0,0.0,100
CLT,35.2140007019043,-80.94309997558594,0.0,0.0,0.0,0.0,0.0,0.0,100
DTW,42.212398529052734,-83.35340118408203,0.0,0.0,0.0,0.0,0.0,0.0,100
DCA,38.8521,-77.037697,0.0,0.0,0.0,0.0,0.0,0.0,100
MSP,44.882,-93.221802,0.0,0.0,0.0,0.0,0.0,0.0,100
MIA,25.79319953918457,-80.29060363769531,0.0,0.0,0.0,0.0,0.0,0.0,100
BWI,39.1754,-76.668297,0.0,0.0,0.0,0.0,0.0,0.0,100
PHL,39.87189865112305,-75.24109649658203,0.0,0.0,0.0,0.0,0.0,0.0,100
TPA,27.975500106811523,-82.533203125,0.0,0.0,0.0,0.0,0.0,0.0,100
SLC,40.78839874267578,-111.97799682617188,0.0,0.0,0.0,0.0,0.0,0.0,100
IAD,38.94449997,-77.45580292,0.0,0.0,0.0,0.0,0.0,0.0,100
MDW,41.785999,-87.752403,0.0,0.0,0.0,0.0,0.0,0.0,100
BNA,36.1245002746582,-86.6781997680664,0.0,0.0,0.0,0.0,0.0,0.0,100
PDX,45.58869934,-122.59799960000001,0.0,0.0,0.0,0.0,0.0,0.0,100
DAL,32.847099,-96.851799,0.0,0.0,0.0,0.0,0.0,0.0,100
AUS,30.2987223546,-97.6997852325,0.0,0.0,0.0,0.0,0.0,0.0,100
RDU,35.877601623535156,-78.7874984741211,0.0,0.0,0.0,0.0,0.0,0.0,100
STL,38.748697,-90.370003,0.0,0.0,0.0,0.0,0.0,0.0,100
MSY,29.99340057373047,-90.25800323486328,0.0,0.0,0.0,0.0,0.0,0.0,100
MCI,39.2976,-94.713898,0.0,0.0,0.0,0.0,0.0,0.0,100
HOU,29.64539909,-95.27890015,0.0,0.0,0.0,0.0,0.0,0.0,100
PIT,40.49150085,-80.23290253,0.0,0.0,0.0,0.0,0.0,0.0,100
SJC,37.362598,-121.929001,0.0,0.0,0.0,0.0,0.0,0.0,100
OAK,37.721298,-122.221001,0.0,0.0,0.0,0.0,0.0,0.0,100
SMF,38.69540023803711,-121.59100341796876,218.0,1.0,0.0,0.0,218.0,1.0,100
IND,39.7173,-86.294403,0.0,0.0,0.0,0.0,0.0,0.0,100
SNA,33.67570114,-117.86799620000001,0.0,0.0,0.0,0.0,0.0,0.0,100
CLE,41.411701202399996,-81.8498001099,0.0,0.0,0.0,0.0,0.0,0.0,100
CMH,39.998001,-82.891899,0.0,0.0,0.0,0.0,0.0,0.0,100
SAT,29.533700942993164,-98.46980285644531,0.0,0.0,0.0,0.0,0.0,0.0,100
CVG,39.0488014221,-84.6678009033,0.0,0.0,0.0,0.0,0.0,0.0,100
JAX,30.49410057067871,-81.68789672851562,0.0,0.0,0.0,0.0,0.0,0.0,100
HNL,21.32062,-157.924228,0.0,0.0,0.0,0.0,0.0,0.0,100
MKE,42.94720077514648,-87.89659881591797,0.0,0.0,0.0,0.0,0.0,0.0,100
ATL,33.6367,-84.428101,0.0,0.0,0.0,0.0,0.0,0.0,200
LAX,33.94250107,-118.40799709999999,0.0,0.0,0.0,0.0,0.0,0.0,200
ORD,41.9786,-87.9048,0.0,0.0,0.0,0.0,0.0,0.0,200
DEN,39.861698150635,-104.672996521,5.0,1.0,0.0,0.0,5.0,1.0,200
DFW,32.896801,-97.038002,0.0,0.0,0.0,0.0,0.0,0.0,200
LAS,36.08010101,-115.15200039999999,0.0,0.0,0.0,0.0,0.0,0.0,200
SFO,37.61899948120117,-122.375,0.0,0.0,85.0,1.0,85.0,1.0,200
PHX,33.43429946899414,-112.01200103759766,0.0,0.0,0.0,0.0,0.0,0.0,200
IAH,29.98439979553223,-95.34140014648438,0.0,0.0,0.0,0.0,0.0,0.0,200
SEA,47.449001,-122.308998,0.0,0.0,83.0,1.0,83.0,1.0,200
BOS,42.36429977,-71.00520325,0.0,0.0,0.0,0.0,0.0,0.0,200
MCO,28.429399490356445,-81.30899810791016,0.0,0.0,0.0,0.0,0.0,0.0,200
EWR,40.69250106811523,-74.168701171875,0.0,0.0,0.0,0.0,0.0,0.0,200
LGA,40.77719879,-73.87259674,0.0,0.0,0.0,0.0,0.0,0.0,200
JFK,40.63980103,-73.77890015,0.0,0.0,0.0,0.0,0.0,0.0,200
FLL,26.072599,-80.152702,0.0,0.0,0.0,0.0,0.0,0.0,200
SAN,32.7336006165,-117.190002441,0.0,0.0,0.0,0.0,0.0,0.0,200
CLT,35.2140007019043,-80.94309997558594,0.0,0.0,0.0,0.0,0.0,0.0,200
DTW,42.212398529052734,-83.35340118408203,0.0,0.0,0.0,0.0,0.0,0.0,200
DCA,38.8521,-77.037697,0.0,0.0,0.0,0.0,0.0,0.0,200
MSP,44.882,-93.221802,0.0,0.0,127.0,1.0,127.0,1.0,200
MIA,25.79319953918457,-80.29060363769531,0.0,0.0,0.0,0.0,0.0,0.0,200
BWI,39.1754,-76.668297,0.0,0.0,0.0,0.0,0.0,0.0,200
PHL,39.87189865112305,-75.24109649658203,0.0,0.0,0.0,0.0,0.0,0.0,200
TPA,27.975500106811523,-82.533203125,0.0,0.0,0.0,0.0,0.0,0.0,200
SLC,40.78839874267578,-111.97799682617188,0.0,0.0,0.0,0.0,0.0,0.0,200
IAD,38.94449997,-77.45580292,0.0,0.0,0.0,0.0,0.0,0.0,200
MDW,41.785999,-87.752403,0.0,0.0,0.0,0.0,0.0,0.0,200
BNA,36.1245002746582,-86.6781997680664,0.0,0.0,0.0,0.0,0.0,0.0,200
PDX,45.58869934,-122.59799960000001,0.0,0.0,0.0,0.0,0.0,0.0,200
DAL,32.847099,-96.851799,0.0,0.0,0.0,0.0,0.0,0.0,200
AUS,30.2987223546,-97.6997852325,0.0,0.0,0.0,0.0,0.0,0.0,200
RDU,35.877601623535156,-78.7874984741211,0.0,0.0,0.0,0.0,0.0,0.0,200
STL,38.748697,-90.370003,0.0,0.0,0.0,0.0,0.0,0.0,200
MSY,29.99340057373047,-90.25800323486328,0.0,0.0,0.0,0.0,0.0,0.0,200
MCI,39.2976,-94.713898,0.0,0.0,0.0,0.0,0.0,0.0,200
HOU,29.64539909,-95.27890015,0.0,0.0,0.0,0.0,0.0,0.0,200
PIT,40.49150085,-80.23290253,0.0,0.0,0.0,0.0,0.0,0.0,200
SJC,37.362598,-121.929001,0.0,0.0,0.0,0.0,0.0,0.0,200
OAK,37.721298,-122.221001,0.0,0.0,0.0,0.0,0.0,0.0,200
SMF,38.69540023803711,-121.59100341796876,0.0,0.0,0.0,0.0,0.0,0.0,200
IND,39.7173,-86.294403,0.0,0.0,0.0,0.0,0.0,0.0,200
SNA,33.67570114,-117.86799620000001,0.0,0.0,0.0,0.0,0.0,0.0,200
CLE,41.411701202399996,-81.8498001099,0.0,0.0,0.0,0.0,0.0,0.0,200
CMH,39.998001,-82.891899,0.0,0.0,0.0,0.0,0.0,0.0,200
SAT,29.533700942993164,-98.46980285644531,0.0,0.0,0.0,0.0,0.0,0.0,200
CVG,39.0488014221,-84.6678009033,0.0,0.0,0.0,0.0,0.0,0.0,200
JAX,30.49410057067871,-81.68789672851562,0.0,0.0,0.0,0.0,0.0,0.0,200
HNL,21.32062,-157.924228,0.0,0.0,0.0,0.0,0.0,0.0,200
MKE,42.94720077514648,-87.89659881591797,0.0,0.0,0.0,0.0,0.0,0.0,200
ATL,33.6367,-84.428101,0.0,0.0,0.0,0.0,0.0,0.0,300
LAX,33.94250107,-118.40799709999999,0.0,0.0,0.0,0.0,0.0,0.0,300
ORD,41.9786,-87.9048,0.0,0.0,0.0,0.0,0.0,0.0,300
DEN,39.861698150635,-104.672996521,0.0,0.0,0.0,0.0,0.0,0.0,300
DFW,32.896801,-97.038002,0.0,0.0,0.0,0.0,0.0,0.0,300
LAS,36.08010101,-115.15200039999999,0.0,0.0,0.0,0.0,0.0,0.0,300
SFO,37.61899948120117,-122.375,0.0,0.0,0.0,0.0,0.0,0.0,300
PHX,33.43429946899414,-112.01200103759766,0.0,0.0,0.0,0.0,0.0,0.0,300
IAH,29.98439979553223,-95.34140014648438,0.0,0.0,0.0,0.0,0.0,0.0,300
SEA,47.449001,-122.308998,0.0,0.0,0.0,0.0,0.0,0.0,300
BOS,42.36429977,-71.00520325,0.0,0.0,0.0,0.0,0.0,0.0,300
MCO,28.429399490356445,-81.30899810791016,0.0,0.0,0.0,0.0,0.0,0.0,300
EWR,40.69250106811523,-74.168701171875,0.0,0.0,0.0,0.0,0.0,0.0,300
LGA,40.77719879,-73.87259674,0.0,0.0,0.0,0.0,0.0,0.0,300
JFK,40.63980103,-73.77890015,0.0,0.0,0.0,0.0,0.0,0.0,300
FLL,26.072599,-80.152702,0.0,0.0,0.0,0.0,0.0,0.0,300
SAN,32.7336006165,-117.190002441,0.0,0.0,0.0,0.0,0.0,0.0,300
CLT,35.2140007019043,-80.94309997558594,0.0,0.0,0.0,0.0,0.0,0.0,300
DTW,42.212398529052734,-83.35340118408203,0.0,0.0,0.0,0.0,0.0,0.0,300
DCA,38.8521,-77.037697,0.0,0.0,0.0,0.0,0.0,0.0,300
MSP,44.882,-93.221802,0.0,0.0,0.0,0.0,0.0,0.0,300
MIA,25.79319953918457,-80.29060363769531,0.0,0.0,0.0,0.0,0.0,0.0,300
BWI,39.1754,-76.668297,0.0,0.0,0.0,0.0,0.0,0.0,300
PHL,39.87189865112305,-75.24109649658203,0.0,0.0,0.0,0.0,0.0,0.0,300
TPA,27.975500106811523,-82.533203125,0.0,0.0,0.0,0.0,0.0,0.0,300
SLC,40.78839874267578,-111.97799682617188,0.0,0.0,0.0,0.0,0.0,0.0,300
IAD,38.94449997,-77.45580292,0.0,0.0,0.0,0.0,0.0,0.0,300
MDW,41.785999,-87.752403,0.0,0.0,0.0,0.0,0.0,0.0,300
BNA,36.1245002746582,-86.6781997680664,0.0,0.0,0.0,0.0,0.0,0.0,300
PDX,45.58869934,-122.59799960000001,0.0,0.0,0.0,0.0,0.0,0.0,300
DAL,32.847099,-96.851799,0.0,0.0,0.0,0.0,0.0,0.0,300
AUS,30.2987223546,-97.6997852325,0.0,0.0,0.0,0.0,0.0,0.0,300
RDU,35.877601623535156,-78.7874984741211,0.0,0.0,0.0,0.0,0.0,0.0,300
STL,38.748697,-90.370003,0.0,0.0,0.0,0.0,0.0,0.0,300
MSY,29.99340057373047,-90.25800323486328,0.0,0.0,0.0,0.0,0.0,0.0,300
MCI,39.2976,-94.713898,0.0,0.0,0.0,0.0,0.0,0.0,300
HOU,29.64539909,-95.27890015,0.0,0.0,0.0,0.0,0.0,0.0,300
PIT,40.49150085,-80.23290253,0.0,0.0,0.0,0.0,0.0,0.0,300
SJC,37.362598,-121.929001,0.0,0.0,0.0,0.0,0.0,0.0,300
OAK,37.721298,-122.221001,0.0,0.0,0.0,0.0,0.0,0.0,300
SMF,38.69540023803711,-121.59100341796876,0.0,0.0,0.0,0.0,0.0,0.0,300
IND,39.7173,-86.294403,0.0,0.0,0.0,0.0,0.0,0.0,300
SNA,33.67570114,-117.86799620000001,0.0,0.0,0.0,0.0,0.0,0.0,300
CLE,41.411701202399996,-81.8498001099,0.0,0.0,0.0,0.0,0.0,0.0,300
CMH,39.998001,-82.891899,0.0,0.0,0.0,0.0,0.0,0.0,300
SAT,29.533700942993164,-98.46980285644531,0.0,0.0,0.0,0.0,0.0,0.0,300
CVG,39.0488014221,-84.6678009033,0.0,0.0,0.0,0.0,0.0,0.0,300
JAX,30.49410057067871,-81.68789672851562,0.0,0.0,0.0,0.0,0.0,0.0,300
HNL,21.32062,-157.924228,0.0,0.0,0.0,0.0,0.0,0.0,300
MKE,42.94720077514648,-87.89659881591797,0.0,0.0,0.0,0.0,0.0,0.0,300
ATL,33.6367,-84.428101,0.0,0.0,0.0,0.0,0.0,0.0,400
LAX,33.94250107,-118.40799709999999,0.0,0.0,0.0,0.0,0.0,0.0,400
ORD,41.9786,-87.9048,0.0,0.0,0.0,0.0,0.0,0.0,400
DEN,39.861698150635,-104.672996521,0.0,0.0,0.0,0.0,0.0,0.0,400
DFW,32.896801,-97.038002,0.0,0.0,0.0,0.0,0.0,0.0,400
LAS,36.08010101,-115.15200039999999,0.0,0.0,0.0,0.0,0.0,0.0,400
SFO,37.61899948120117,-122.375,1.0,1.0,0.0,0.0,1.0,1.0,400
PHX,33.43429946899414,-112.01200103759766,0.0,0.0,0.0,0.0,0.0,0.0,400
IAH,29.98439979553223,-95.34140014648438,0.0,0.0,0.0,0.0,0.0,0.0,400
SEA,47.449001,-122.308998,0.0,0.0,0.0,0.0,0.0,0.0,400
BOS,42.36429977,-71.00520325,0.0,0.0,0.0,0.0,0.0,0.0,400
MCO,28.429399490356445,-81.30899810791016,0.0,0.0,0.0,0.0,0.0,0.0,400
EWR,40.69250106811523,-74.168701171875,0.0,0.0,0.0,0.0,0.0,0.0,400
LGA,40.77719879,-73.87259674,0.0,0.0,0.0,0.0,0.0,0.0,400
JFK,40.63980103,-73.77890015,0.0,0.0,0.0,0.0,0.0,0.0,400
FLL,26.072599,-80.152702,0.0,0.0,0.0,0.0,0.0,0.0,400
SAN,32.7336006165,-117.190002441,0.0,0.0,0.0,0.0,0.0,0.0,400
CLT,35.2140007019043,-80.94309997558594,0.0,0.0,0.0,0.0,0.0,0.0,400
DTW,42.212398529052734,-83.35340118408203,0.0,0.0,0.0,0.0,0.0,0.0,400
DCA,38.8521,-77.037697,0.0,0.0,0.0,0.0,0.0,0.0,400
MSP,44.882,-93.221802,0.0,0.0,0.0,0.0,0.0,0.0,400
MIA,25.79319953918457,-80.29060363769531,0.0,0.0,0.0,0.0,0.0,0.0,400
BWI,39.1754,-76.668297,4.0,1.0,0.0,0.0,4.0,1.0,400
PHL,39.87189865112305,-75.24109649658203,0.0,0.0,0.0,0.0,0.0,0.0,400
TPA,27.975500106811523,-82.533203125,0.0,0.0,0.0,0.0,0.0,0.0,400
SLC,40.78839874267578,-111.97799682617188,0.0,0.0,0.0,0.0,0.0,0.0,400
IAD,38.94449997,-77.45580292,0.0,0.0,0.0,0.0,0.0,0.0,400
MDW,41.785999,-87.752403,0.0,0.0,0.0,0.0,0.0,0.0,400
BNA,36.1245002746582,-86.6781997680664,0.0,0.0,0.0,0.0,0.0,0.0,400
PDX,45.58869934,-122.59799960000001,0.0,0.0,0.0,0.0,0.0,0.0,400
DAL,32.847099,-96.851799,0.0,0.0,0.0,0.0,0.0,0.0,400
AUS,30.2987223546,-97.6997852325,0.0,0.0,0.0,0.0,0.0,0.0,400
RDU,35.877601623535156,-78.7874984741211,0.0,0.0,0.0,0.0,0.0,0.0,400
STL,38.748697,-90.370003,0.0,0.0,0.0,0.0,0.0,0.0,400
MSY,29.99340057373047,-90.25800323486328,0.0,0.0,0.0,0.0,0.0,0.0,400
MCI,39.2976,-94.713898,0.0,0.0,0.0,0.0,0.0,0.0,400
HOU,29.64539909,-95.27890015,0.0,0.0,0.0,0.0,0.0,0.0,400
PIT,40.49150085,-80.23290253,0.0,0.0,0.0,0.0,0.0,0.0,400
SJC,37.362598,-121.929001,0.0,0.0,0.0,0.0,0.0,0.0,400
OAK,37.721298,-122.221001,0.0,0.0,0.0,0.0,0.0,0.0,400
SMF,38.69540023803711,-121.59100341796876,0.0,0.0,0.0,0.0,0.0,0.0,400
IND,39.7173,-86.294403,0.0,0.0,0.0,0.0,0.0,0.0,400
SNA,33.67570114,-117.86799620000001,0.0,0.0,0.0,0.0,0.0,0.0,400
CLE,41.411701202399996,-81.8498001099,0.0,0.0,0.0,0.0,0.0,0.0,400
CMH,39.998001,-82.891899,0.0,0.0,0.0,0.0,0.0,0.0,400
SAT,29.533700942993164,-98.46980285644531,0.0,0.0,0.0,0.0,0.0,0.0,400
CVG,39.0488014221,-84.6678009033,0.0,0.0,0.0,0.0,0.0,0.0,400
JAX,30.49410057067871,-81.68789672851562,0.0,0.0,0.0,0.0,0.0,0.0,400
